Membership No  Date Joined  Active  
    80718      2019-9-13    no    
    91379      2017-9-9     no    
    79492      2019-9-22    yes   
    84064      2020-11-25   yes   
    67793      2020-7-18    no    
    83999      2019-3-14    no    
    54948      2019-2-4     no    
    36997      2015-2-9     yes   
    28111      2017-9-2     yes   
    52513      2017-10-1    yes   
    61526      2020-9-2     yes   
    87289      2016-7-12    no    
    43897      2019-9-7     no    
    27286      2016-7-25    no    
    64361      2015-1-18    yes   
    94266      2016-3-22    no    
    18529      2015-6-16    no    
    93082      2019-1-13    yes   
    18892      2020-1-10    yes   
    99294      2018-11-13   no    
