Membership No  Date Joined  Active  
    81394      2018-9-5     no    
    23335      2020-10-13   yes   
    43910      2018-3-1     yes   
    17886      2019-4-7     no    
    86404      2018-4-13    yes   
    35039      2015-2-24    no    
    26170      2018-4-3     yes   
    63183      2016-1-1     no    
    41414      2020-1-19    yes   
    64995      2020-3-13    yes   
    61992      2018-5-20    no    
    35308      2015-9-2     no    
    83160      2016-5-13    no    
    10643      2019-1-17    no    
    47066      2018-7-5     no    
    42067      2018-1-24    no    
    10574      2015-7-13    no    
    31628      2018-2-23    no    
    80539      2018-4-17    yes   
    43913      2020-5-3     yes   
