Membership No  Date Joined  Active  
    47162      2017-7-15    no    
    46388      2017-10-14   no    
    11804      2015-4-10    no    
    37641      2015-3-11    no    
    69533      2015-9-20    no    
    41948      2019-7-15    no    
    44992      2017-11-8    no    
    78779      2015-4-21    no    
    34465      2016-4-22    no    
    61385      2020-2-23    no    
    77558      2015-4-23    no    
    69592      2015-12-11   no    
    47005      2017-5-2     no    
    55370      2016-6-3     no    
    94973      2016-12-21   no    
    83941      2020-1-16    no    
