Membership No  Date Joined  Active  
    69453      2020-12-9    no    
    30198      2018-9-13    no    
    81589      2018-9-15    no    
    79293      2020-4-1     no    
    82582      2019-8-21    no    
    98477      2018-5-9     no    
    67912      2018-12-12   no    
    19535      2015-2-10    no    
    62469      2015-2-12    no    
    49106      2017-10-22   no    
    58400      2017-3-16    no    
    55971      2015-1-15    no    
    71367      2016-9-12    no    
    98541      2018-10-2    no    
